Date,Close/Last,Volume,Open,High,Low
01/30/2023,$11.75,114340300,$13.03,$13.08,$11.58
01/27/2023,$12.87,208145200,$8.99,$17.81,$8.91
01/26/2023,$9.00,26298940,$9.30,$9.3793,$8.62
01/25/2023,$8.87,22676470,$8.32,$8.88,$8.21
01/24/2023,$8.60,25868850,$8.64,$9.06,$8.52
01/23/2023,$8.82,37913500,$8.00,$8.895,$7.985
01/20/2023,$7.82,20804180,$7.48,$7.82,$7.425
01/19/2023,$7.45,29192200,$8.01,$8.0743,$7.40
01/18/2023,$8.16,24861750,$8.19,$8.34,$7.86
01/17/2023,$8.05,21989980,$8.16,$8.32,$7.915
01/13/2023,$8.15,29230430,$7.952,$8.18,$7.75
01/12/2023,$8.31,45046860,$8.38,$8.47,$7.80
01/11/2023,$7.93,44543070,$7.22,$8.00,$7.0691
01/10/2023,$7.19,25980590,$6.86,$7.22,$6.73
01/09/2023,$6.78,27341980,$6.49,$6.98,$6.375
01/06/2023,$6.36,24539340,$6.15,$6.43,$6.09
01/05/2023,$6.25,21449720,$6.34,$6.3938,$6.17
01/04/2023,$6.48,26173380,$6.25,$6.72,$6.15
01/03/2023,$6.17,31442210,$6.97,$7.07,$6.14
12/30/2022,$6.83,22489780,$6.55,$6.83,$6.515
12/29/2022,$6.70,26601590,$6.60,$6.90,$6.48
12/28/2022,$6.38,27973140,$6.25,$6.64,$6.215
12/27/2022,$6.20,35811180,$6.608,$6.61,$6.18
12/23/2022,$6.70,22584950,$6.88,$6.90,$6.59
12/22/2022,$6.89,35161350,$7.12,$7.17,$6.63
12/21/2022,$7.18,26956150,$7.39,$7.39,$7.15
12/20/2022,$7.23,42410700,$7.57,$7.89,$7.22
12/19/2022,$7.23,22954070,$7.35,$7.37,$7.05
12/16/2022,$7.37,41837820,$7.405,$7.62,$7.185
12/15/2022,$7.45,31343420,$7.71,$7.82,$7.43
12/14/2022,$7.68,29881890,$7.96,$7.97,$7.59
12/13/2022,$7.99,40408080,$8.70,$8.955,$7.94
12/12/2022,$8.28,26159760,$8.54,$8.59,$8.13
12/09/2022,$8.68,43064560,$8.53,$8.69,$8.14
12/08/2022,$8.68,24855930,$8.62,$8.84,$8.405
12/07/2022,$8.61,23903930,$8.50,$8.735,$8.2853
12/06/2022,$8.65,39132220,$9.52,$9.52,$8.54
12/05/2022,$9.43,26098200,$10.11,$10.19,$9.40
12/02/2022,$10.15,27456300,$9.64,$10.165,$9.55
12/01/2022,$9.83,27314300,$10.105,$10.235,$9.57
11/30/2022,$10.14,69551920,$9.86,$10.36,$9.84
11/29/2022,$9.76,19666560,$10.05,$10.07,$9.70
11/28/2022,$9.85,24186890,$9.985,$10.1884,$9.83
11/25/2022,$10.02,12414210,$10.27,$10.28,$9.965
11/23/2022,$10.25,18478570,$10.24,$10.35,$10.0514
11/22/2022,$10.13,23082780,$10.39,$10.39,$9.98
11/21/2022,$10.31,32052730,$11.11,$11.11,$10.25
11/18/2022,$11.26,14755860,$11.58,$11.66,$11.085
11/17/2022,$11.46,18377410,$11.24,$11.49,$11.03
11/16/2022,$11.37,23032360,$12.30,$12.30,$11.32
11/15/2022,$12.36,21744990,$12.715,$12.82,$12.30
11/14/2022,$12.21,18403840,$12.88,$12.96,$12.1018
11/11/2022,$12.91,29191480,$12.13,$13.1785,$12.07
11/10/2022,$12.11,42963120,$12.01,$12.34,$11.37
11/09/2022,$11.21,52598510,$12.49,$12.53,$10.89
11/08/2022,$13.50,23031450,$13.91,$14.04,$13.07
11/07/2022,$13.85,16367960,$14.05,$14.20,$13.205
11/04/2022,$13.89,19218420,$14.04,$14.34,$13.30
11/03/2022,$13.64,10715250,$13.23,$14.075,$13.15
11/02/2022,$13.34,14289030,$13.67,$14.35,$13.315
11/01/2022,$13.62,14636460,$14.67,$14.84,$13.60
10/31/2022,$14.29,24662350,$14.16,$14.675,$14.045
10/28/2022,$14.23,12837100,$13.79,$14.30,$13.65
10/27/2022,$13.79,11174020,$14.05,$14.38,$13.68
10/26/2022,$13.91,15090410,$13.74,$14.52,$13.62
10/25/2022,$13.92,22487620,$12.90,$14.17,$12.90
10/24/2022,$12.80,14457680,$13.17,$13.175,$12.53
10/21/2022,$13.31,17222210,$12.46,$13.42,$12.28
10/20/2022,$12.60,17586540,$12.71,$13.10,$12.36
10/19/2022,$12.64,11700870,$12.845,$12.93,$12.45
10/18/2022,$13.01,16688540,$12.92,$13.16,$12.515
10/17/2022,$12.41,18897350,$12.35,$12.92,$12.3441
10/14/2022,$11.89,23536680,$13.18,$13.22,$11.87
10/13/2022,$13.01,20889250,$12.74,$13.24,$12.375
10/12/2022,$13.09,23191810,$13.25,$13.50,$12.61
10/11/2022,$12.65,22025110,$12.43,$13.2173,$12.20
10/10/2022,$12.48,20767800,$13.23,$13.26,$12.29
10/07/2022,$13.17,21772500,$14.061,$14.18,$13.12
10/06/2022,$14.41,13163680,$15.018,$15.30,$14.305
10/05/2022,$14.99,11615340,$14.961,$15.17,$14.51
10/04/2022,$15.40,22799940,$14.51,$15.68,$14.51
10/03/2022,$14.09,19230870,$14.00,$14.22,$13.52
09/30/2022,$13.97,12259270,$14.05,$14.44,$13.87
09/29/2022,$14.19,14281710,$14.98,$15.00,$13.99
09/28/2022,$15.22,15089800,$14.52,$15.32,$14.355
09/27/2022,$14.41,20173230,$14.81,$15.18,$14.15
09/26/2022,$14.06,11486250,$14.05,$14.65,$13.9515
09/23/2022,$14.03,18635850,$14.17,$14.25,$13.58
09/22/2022,$14.31,20375890,$15.45,$15.58,$14.12
09/21/2022,$15.56,16880000,$15.39,$16.16,$15.28
09/20/2022,$15.34,12585580,$15.82,$15.951,$15.23
09/19/2022,$15.94,18925120,$16.06,$16.41,$15.44
09/16/2022,$16.18,50642790,$16.13,$17.69,$16.08
09/15/2022,$16.49,19007530,$16.40,$17.33,$16.34
09/14/2022,$16.63,21932170,$16.02,$16.88,$15.975
09/13/2022,$16.10,21307210,$15.81,$16.68,$15.64
09/12/2022,$16.55,24276510,$15.45,$16.597,$15.31
09/09/2022,$15.08,18030650,$15.00,$15.42,$14.93
09/08/2022,$14.99,11854440,$14.46,$14.99,$14.385
09/07/2022,$14.70,17388180,$14.464,$14.75,$13.863
09/06/2022,$14.61,17263260,$15.04,$15.13,$14.58
09/02/2022,$15.16,13695290,$15.47,$15.63,$14.99
09/01/2022,$15.38,13605630,$15.21,$15.405,$14.79
08/31/2022,$15.34,13917190,$15.32,$15.5185,$14.96
08/30/2022,$15.15,27308580,$15.80,$15.85,$14.89
08/29/2022,$16.17,8469340,$16.09,$16.4499,$15.86
08/26/2022,$16.24,13160280,$17.10,$17.28,$16.21
08/25/2022,$16.98,10480880,$16.70,$17.23,$16.58
08/24/2022,$16.44,11934800,$16.25,$16.84,$15.955
08/23/2022,$15.98,11651130,$16.26,$16.44,$15.95
08/22/2022,$16.10,15375310,$16.775,$16.775,$16.03
08/19/2022,$16.75,26005810,$17.98,$17.99,$16.69
08/18/2022,$18.23,10206410,$18.58,$18.60,$18.01
08/17/2022,$18.46,11017310,$18.66,$18.79,$18.15
08/16/2022,$18.93,12998080,$18.62,$19.155,$18.18
08/15/2022,$18.76,10488250,$18.36,$19.08,$18.31
08/12/2022,$18.66,13906180,$18.25,$18.71,$17.829
08/11/2022,$18.09,19662450,$18.39,$18.92,$18.02
08/10/2022,$18.22,19041290,$18.07,$18.34,$17.51
08/09/2022,$17.46,23944600,$18.52,$18.53,$17.125
08/08/2022,$18.72,21703020,$18.18,$19.71,$18.075
08/05/2022,$18.05,16542600,$18.40,$18.60,$17.92
08/04/2022,$18.56,37355210,$18.04,$18.86,$18.00
08/03/2022,$20.56,29292230,$19.82,$20.62,$19.53
08/02/2022,$19.73,20507440,$18.22,$19.99,$17.82
08/01/2022,$18.53,15465760,$18.21,$18.69,$17.77
07/29/2022,$18.25,16504000,$18.00,$18.29,$17.88
07/28/2022,$18.24,16839430,$18.74,$19.0238,$17.775
07/27/2022,$18.43,15565970,$18.44,$18.595,$17.87
07/26/2022,$18.09,11087870,$18.48,$18.565,$17.89
07/25/2022,$18.74,11624210,$19.78,$19.90,$18.64
07/22/2022,$19.68,14026810,$21.45,$21.45,$19.54
07/21/2022,$21.48,15841820,$21.14,$21.78,$20.781
07/20/2022,$21.27,15250110,$20.36,$21.34,$20.36
07/19/2022,$20.38,11280280,$20.49,$20.55,$19.86
07/18/2022,$19.96,17273800,$20.07,$21.08,$19.86
07/15/2022,$19.68,13949470,$20.12,$20.29,$19.21
07/14/2022,$20.11,12948490,$19.44,$20.15,$18.96
07/13/2022,$19.51,12273150,$18.65,$19.7488,$18.55
07/12/2022,$19.33,12437530,$18.74,$19.46,$18.245
07/11/2022,$18.53,11690920,$19.92,$20.02,$18.50
07/08/2022,$19.99,24362130,$19.44,$20.61,$19.32
07/07/2022,$19.81,19510420,$18.29,$19.875,$18.06
07/06/2022,$18.22,21390600,$17.35,$18.51,$17.31
07/05/2022,$17.23,14896630,$16.78,$17.24,$16.35
07/01/2022,$17.00,14083070,$17.055,$17.52,$16.43
06/30/2022,$17.16,13188800,$17.24,$17.66,$16.545
06/29/2022,$17.30,10918330,$17.69,$17.93,$17.20
